"GEOID","NAME","variable","estimate","State"
"12059","Holmes County, Florida","MedianHouseholdIncome","39102","FL"
"12061","Indian River County, Florida","TotalPopulation","153989","FL"
"12061","Indian River County, Florida","MedianHouseholdIncome","54740","FL"
"12063","Jackson County, Florida","TotalPopulation","47945","FL"
"12063","Jackson County, Florida","MedianHouseholdIncome","39872","FL"
"12065","Jefferson County, Florida","TotalPopulation","14161","FL"
"12065","Jefferson County, Florida","MedianHouseholdIncome","47240","FL"
"12067","Lafayette County, Florida","TotalPopulation","8637","FL"
"12067","Lafayette County, Florida","MedianHouseholdIncome","50165","FL"
"12069","Lake County, Florida","TotalPopulation","345867","FL"
"12069","Lake County, Florida","MedianHouseholdIncome","54513","FL"
"12071","Lee County, Florida","TotalPopulation","737468","FL"
"12071","Lee County, Florida","MedianHouseholdIncome","57832","FL"
"12073","Leon County, Florida","TotalPopulation","289770","FL"
"12073","Leon County, Florida","MedianHouseholdIncome","53106","FL"
"12075","Levy County, Florida","TotalPopulation","40403","FL"
"12075","Levy County, Florida","MedianHouseholdIncome","37326","FL"
"12077","Liberty County, Florida","TotalPopulation","8345","FL"
"12077","Liberty County, Florida","MedianHouseholdIncome","38015","FL"
"12079","Madison County, Florida","TotalPopulation","18460","FL"
"12079","Madison County, Florida","MedianHouseholdIncome","37037","FL"
"12081","Manatee County, Florida","TotalPopulation","384213","FL"
"12081","Manatee County, Florida","MedianHouseholdIncome","59009","FL"
"12083","Marion County, Florida","TotalPopulation","353526","FL"
"12083","Marion County, Florida","MedianHouseholdIncome","45371","FL"
"12085","Martin County, Florida","TotalPopulation","159065","FL"
"12085","Martin County, Florida","MedianHouseholdIncome","61133","FL"
"12086","Miami-Dade County, Florida","TotalPopulation","2699428","FL"
"12086","Miami-Dade County, Florida","MedianHouseholdIncome","51347","FL"
"12087","Monroe County, Florida","TotalPopulation","75798","FL"
"12087","Monroe County, Florida","MedianHouseholdIncome","70033","FL"
"12089","Nassau County, Florida","TotalPopulation","83098","FL"
"12089","Nassau County, Florida","MedianHouseholdIncome","69943","FL"
"12091","Okaloosa County, Florida","TotalPopulation","203794","FL"
"12091","Okaloosa County, Florida","MedianHouseholdIncome","63412","FL"
"12093","Okeechobee County, Florida","TotalPopulation","41144","FL"
"12093","Okeechobee County, Florida","MedianHouseholdIncome","41760","FL"
"12095","Orange County, Florida","TotalPopulation","1349746","FL"
"12095","Orange County, Florida","MedianHouseholdIncome","58254","FL"
"12097","Osceola County, Florida","TotalPopulation","351955","FL"
"12097","Osceola County, Florida","MedianHouseholdIncome","52279","FL"
"12099","Palm Beach County, Florida","TotalPopulation","1465027","FL"
"12099","Palm Beach County, Florida","MedianHouseholdIncome","63299","FL"
"12101","Pasco County, Florida","TotalPopulation","524602","FL"
"12101","Pasco County, Florida","MedianHouseholdIncome","52828","FL"
"12103","Pinellas County, Florida","TotalPopulation","964666","FL"
"12103","Pinellas County, Florida","MedianHouseholdIncome","54090","FL"
